Ethylene,,,,,,,,,,,,,,,
Time,m2,m4,m14,m16,m18,m25,m26,m27,m28,m29,m30,m32,m40,m44,m15
6422.17,6.13E-11,5.05E-13,2.50E-11,3.34E-12,7.81E-11,1.22E-09,5.61E-09,1.25E-10,7.21E-11,5.09E-12,6.63E-13,1.12E-12,1.57E-08,1.55E-11,4.85E-11
6425.25,6.09E-11,4.88E-13,2.51E-11,3.26E-12,7.80E-11,1.22E-09,5.61E-09,1.25E-10,7.21E-11,5.21E-12,6.88E-13,1.10E-12,1.57E-08,1.58E-11,4.83E-11
6428.36,6.11E-11,5.25E-13,2.48E-11,3.43E-12,7.85E-11,1.22E-09,5.61E-09,1.24E-10,7.20E-11,5.26E-12,6.94E-13,1.15E-12,1.57E-08,1.56E-11,4.87E-11
6431.47,6.14E-11,4.87E-13,2.49E-11,3.27E-12,7.80E-11,1.22E-09,5.61E-09,1.25E-10,7.21E-11,5.31E-12,6.84E-13,1.18E-12,1.57E-08,1.56E-11,4.85E-11
6434.55,6.07E-11,5.02E-13,2.49E-11,3.25E-12,7.81E-11,1.22E-09,5.61E-09,1.25E-10,7.22E-11,5.22E-12,6.67E-13,1.16E-12,1.57E-08,1.55E-11,4.80E-11
6437.64,6.13E-11,4.92E-13,2.48E-11,3.33E-12,7.82E-11,1.22E-09,5.61E-09,1.25E-10,7.22E-11,5.18E-12,6.74E-13,1.17E-12,1.57E-08,1.56E-11,4.83E-11
6440.75,6.13E-11,4.86E-13,2.52E-11,3.31E-12,7.85E-11,1.22E-09,5.61E-09,1.25E-10,7.19E-11,5.05E-12,7.00E-13,1.18E-12,1.57E-08,1.57E-11,4.84E-11
6443.84,6.15E-11,4.89E-13,2.50E-11,3.36E-12,7.82E-11,1.22E-09,5.61E-09,1.24E-10,7.23E-11,5.20E-12,7.21E-13,1.19E-12,1.57E-08,1.56E-11,4.82E-11
6446.95,6.16E-11,4.93E-13,2.50E-11,3.34E-12,7.84E-11,1.22E-09,5.61E-09,1.26E-10,7.23E-11,5.24E-12,7.24E-13,1.17E-12,1.57E-08,1.53E-11,4.83E-11
6450.05,6.13E-11,5.00E-13,2.49E-11,3.27E-12,7.77E-11,1.22E-09,5.61E-09,1.25E-10,7.27E-11,5.24E-12,6.89E-13,1.17E-12,1.57E-08,1.53E-11,4.83E-11
6453.12,6.15E-11,4.94E-13,2.51E-11,3.43E-12,7.75E-11,1.22E-09,5.61E-09,1.26E-10,7.24E-11,5.30E-12,6.89E-13,1.13E-12,1.57E-08,1.53E-11,4.82E-11
6456.28,6.13E-11,4.86E-13,2.52E-11,3.42E-12,7.83E-11,1.22E-09,5.61E-09,1.25E-10,7.24E-11,5.24E-12,6.76E-13,1.17E-12,1.57E-08,1.54E-11,4.87E-11
6459.37,6.14E-11,4.96E-13,2.49E-11,3.25E-12,7.80E-11,1.22E-09,5.61E-09,1.25E-10,7.18E-11,5.15E-12,6.61E-13,1.16E-12,1.57E-08,1.54E-11,4.85E-11
6462.48,6.11E-11,4.93E-13,2.49E-11,3.32E-12,7.77E-11,1.22E-09,5.62E-09,1.25E-10,7.23E-11,5.26E-12,6.91E-13,1.22E-12,1.57E-08,1.55E-11,4.84E-11
6465.56,6.13E-11,4.90E-13,2.47E-11,3.28E-12,7.82E-11,1.22E-09,5.61E-09,1.25E-10,7.23E-11,5.25E-12,7.05E-13,1.22E-12,1.57E-08,1.56E-11,4.83E-11
6468.67,6.13E-11,5.05E-13,2.49E-11,3.33E-12,7.82E-11,1.22E-09,5.62E-09,1.25E-10,7.26E-11,5.23E-12,6.76E-13,1.16E-12,1.57E-08,1.58E-11,4.85E-11
6471.77,6.15E-11,5.05E-13,2.47E-11,3.28E-12,7.84E-11,1.22E-09,5.61E-09,1.25E-10,7.26E-11,5.20E-12,6.80E-13,1.17E-12,1.57E-08,1.55E-11,4.83E-11
6474.87,6.11E-11,4.92E-13,2.49E-11,3.27E-12,7.78E-11,1.22E-09,5.61E-09,1.25E-10,7.23E-11,5.23E-12,6.91E-13,1.16E-12,1.57E-08,1.55E-11,4.81E-11
6477.97,6.10E-11,4.88E-13,2.50E-11,3.30E-12,7.82E-11,1.22E-09,5.61E-09,1.25E-10,7.21E-11,5.29E-12,6.78E-13,1.20E-12,1.57E-08,1.53E-11,4.82E-11
6481.06,6.09E-11,5.02E-13,2.47E-11,3.23E-12,7.75E-11,1.22E-09,5.61E-09,1.25E-10,7.19E-11,5.25E-12,7.01E-13,1.19E-12,1.57E-08,1.57E-11,4.84E-11
6484.16,6.18E-11,5.15E-13,2.51E-11,3.21E-12,7.84E-11,1.22E-09,5.61E-09,1.25E-10,7.23E-11,5.05E-12,6.46E-13,1.17E-12,1.57E-08,1.56E-11,4.84E-11
6487.27,6.09E-11,4.74E-13,2.49E-11,3.36E-12,7.83E-11,1.22E-09,5.61E-09,1.25E-10,7.22E-11,5.14E-12,7.15E-13,1.18E-12,1.57E-08,1.55E-11,4.85E-11
6490.36,6.09E-11,4.89E-13,2.49E-11,3.29E-12,7.73E-11,1.22E-09,5.62E-09,1.25E-10,7.23E-11,5.19E-12,7.23E-13,1.16E-12,1.57E-08,1.55E-11,4.84E-11
6493.45,6.13E-11,4.94E-13,2.49E-11,3.28E-12,7.78E-11,1.22E-09,5.62E-09,1.24E-10,7.22E-11,5.22E-12,6.68E-13,1.19E-12,1.57E-08,1.53E-11,4.83E-11
6496.55,6.10E-11,4.83E-13,2.48E-11,3.39E-12,7.84E-11,1.22E-09,5.61E-09,1.25E-10,7.24E-11,5.25E-12,6.83E-13,1.15E-12,1.57E-08,1.53E-11,4.83E-11
6499.64,6.13E-11,4.89E-13,2.52E-11,3.31E-12,7.80E-11,1.22E-09,5.61E-09,1.25E-10,7.26E-11,5.26E-12,6.93E-13,1.17E-12,1.57E-08,1.52E-11,4.84E-11
6502.72,6.09E-11,4.98E-13,2.47E-11,3.27E-12,7.79E-11,1.22E-09,5.61E-09,1.25E-10,7.21E-11,5.19E-12,7.12E-13,1.18E-12,1.57E-08,1.53E-11,4.85E-11
6505.83,6.09E-11,4.96E-13,2.52E-11,3.37E-12,7.78E-11,1.22E-09,5.62E-09,1.25E-10,7.23E-11,5.13E-12,6.82E-13,1.15E-12,1.57E-08,1.57E-11,4.84E-11
6508.92,6.06E-11,4.87E-13,2.51E-11,3.32E-12,7.77E-11,1.22E-09,5.62E-09,1.25E-10,7.24E-11,5.25E-12,6.98E-13,1.15E-12,1.57E-08,1.54E-11,4.86E-11
6512.03,6.08E-11,5.01E-13,2.49E-11,3.39E-12,7.77E-11,1.22E-09,5.62E-09,1.25E-10,7.21E-11,5.12E-12,7.07E-13,1.18E-12,1.57E-08,1.54E-11,4.81E-11
6515.14,6.10E-11,4.96E-13,2.49E-11,3.28E-12,7.78E-11,1.22E-09,5.62E-09,1.25E-10,7.28E-11,5.14E-12,6.69E-13,1.17E-12,1.57E-08,1.55E-11,4.83E-11
