Temp	Acetaldehyde Concentration Relative to CO	(E) 2-Butenal (Crotonaldehyde Concentration Relative to CO	CO Concentration Relative to CO	CO2 Concentration Relative to CO	Ethylene (Ethene) Concentration Relative to CO	Ethanol Concentration Relative to CO	H2 Concentration Relative to CO	H2O Concentration Relative to CO
512.3891	0.020739610861514286	0.027822033720445925	0.14110825164070545	0.061458982154714736	0.03700593869858851	0.012840456785653544	0.02182672733210966	0.020456035238130905
513.2686	0.016317136318227104	0.020872608291595287	0.1411834779170996	0.0656370201622581	0.030922036515938292	0.015359975739746175	0.024011184521972043	0.015760532517900154
514.1138	0.01462567751467815	0.024620170215434226	0.1409723826365844	0.05950913929260186	0.0304439370980687	0.015993796603996187	0.022893910368648053	0.01258549213032977
515.0355	0.015739195710594338	0.034295241297848916	0.1410925312209753	0.0629922478260562	0.032544059370466956	0.015319632172625402	0.02307470980691953	0.012557202581484374
515.8962	0.01587439589426238	0.04042679822844848	0.14100409209000123	0.05846919155719575	0.03497151631780764	0.013152929178527973	0.023615495124031792	0.012459180998536486
516.7566	0.015261900324263304	0.04098723434611671	0.14169517399025658	0.058476477822718566	0.04834036106920995	0.010648739524762802	0.023638453650735716	0.017029627429627953
517.8688	0.01973052701783341	0.046207065929582736	0.14216800150387648	0.06253466405518285	0.03988822278365831	0.008804158402552477	0.036308707502238365	0.0220580295660655
518.7729	0.026545564294747605	0.07089286078887533	0.14218967381726064	0.06747121609480888	0.03499944934148319	0.00681908725213189	0.03691831831548528	0.022095233521553057
519.6106	0.02774846402503437	0.09489752373429317	0.14266056063609664	0.06834309467477431	0.03749640281228687	0.005637653362851867	0.04024739321929915	0.020657257109873584
520.4553	0.0257088867279057	0.10292793487760996	0.14210926126494797	0.0662017057655767	0.03760630223529927	0.004571414353771896	0.029031011590779074	0.015100306677872068
521.3199	0.028500828970508714	0.09670904654644594	0.14216420059439838	0.06652751901078727	0.04132627130554588	0.00288921489273669	0.024727897378706776	0.019899568511787653
522.1821	0.028309404241379222	0.0816403138760055	0.1441600391117819	0.06599781622786051	0.040624258299654915	0.0031847823621982347	0.025125356765645986	0.02223604429072364
523.0608	0.02460493023043324	0.0687214517359883	0.14463000038360863	0.0670659404655691	0.04093327689886533	0.008528958171664842	0.024481623835043962	0.02193688614016313
523.8611	0.02073646531669451	0.05797110942637317	0.14505378929130286	0.06622155095461973	0.042547630809918094	0.012177568622377004	0.022319295694553945	0.018796597537542453
524.7237	0.019176668873549393	0.048569012755071125	0.144023380444086	0.06920861957496705	0.04550197372040404	0.013549773723741556	0.026551381921982458	0.01649221617955361
525.6658	0.017155965199222085	0.030739567637875522	0.14319060292581026	0.06589800940934565	0.036587376626497733	0.013597680094480053	0.03257205146941497	0.013700809771731689
526.5235	0.015998468873905484	0.016059112686544395	0.14222993306342674	0.06291313327326192	0.03203155071759	0.012921721269369715	0.032968518769279226	0.01308791246406179
527.3983	0.014310668427419734	0.021563770148616393	0.14124754580220356	0.06444388833686437	0.03398304436249467	0.013244328683741351	0.041971790605258054	0.012796676222790166
528.3141	0.016865153232313104	0.02420136458926036	0.14218141744639134	0.05983115412117456	0.03962809754551624	0.01359797447303691	0.031618514637889415	0.01592002700938489
529.0014	0.02283366147457474	0.029661245606032186	0.1434308502806001	0.06275623438851546	0.0409815710405549	0.01193717178788004	0.03244721683656061	0.016061148528205445
530.1447	0.02495396564357905	0.04482579236759399	0.14214441023795268	0.062389997190207006	0.0477493580308027	0.010531529420804858	0.025585268575923966	0.01895561564061305
531.0503	0.02444417958608267	0.05448161320115357	0.1427388497263159	0.06127553276354022	0.045960871807822344	0.008673717803157495	0.023530123020987764	0.019883768594344785
531.7678	0.02198435421964455	0.05976765220207854	0.14239669198107255	0.06004783983926915	0.046437833863414296	0.0044971294875978144	0.022747037328966827	0.020207058003179623
532.6235	0.019949685617960955	0.060227167466591486	0.1422252863617513	0.060105806037484145	0.05035318024783359	0.0030871343225367916	0.023947676833246178	0.023484691386224256
533.4938	0.02057469417504535	0.0505074163624142	0.1430436876285234	0.06089587271240132	0.041963942939869145	0.003881573679095133	0.02678148816439466	0.023753617354708625
534.4167	0.02075269464249512	0.03832979138637035	0.14234864468394004	0.0615415444119428	0.042425534663843384	0.003907031764507058	0.031315051366558266	0.02097367379244039
535.0662	0.020771752006059022	0.0323241306342534	0.14259373817754684	0.059756036389883214	0.041406534347469146	0.006326821324349473	0.032247179495365236	0.014821963430245673
535.8317	0.018544170474263516	0.0193982872071348	0.14282250100929203	0.06063762096502159	0.04378398461223092	0.010787504961528856	0.030689292347764373	0.013481681322304994
536.7866	0.016900637815132617	0.01568071932434554	0.14466097059610145	0.06222443635488145	0.03755935755306442	0.01136042410309345	0.028406834725059966	0.014145398309456277
537.7818	0.017966854671094306	0.029231361396685144	0.14738060650325524	0.06276711788429054	0.0356783148075128	0.010498496261385777	0.028974259104470025	0.014659474422766175
538.636	0.01611814880864404	0.03255258472809078	0.1490203423594689	0.06264927031838456	0.03610539717157444	0.008997388369460197	0.031233796727378405	0.016632747568883978
539.5911	0.019660544984840822	0.04765175611378276	0.1495224844075209	0.059620752411638306	0.04092645232871553	0.008534775899168909	0.02407580973991943	0.01802867424583785
540.4669	0.02391015381309688	0.07144719321315143	0.1461978002628252	0.06045940898257271	0.043763587344301816	0.008000112527685975	0.025161541738216605	0.01922977412091268
541.3606	0.027242616608132843	0.08403319173603416	0.1446416803229236	0.062528869748663	0.04528108441800912	0.007488276172116448	0.0230264092290921	0.021877001608038887
542.2471	0.02893531106503805	0.0918327997825357	0.14603383377681928	0.06554437989884859	0.050229250119732255	0.0052284681041057605	0.023382474881842773	0.02313917767041307
543.1149	0.031790030695206986	0.09143804972092388	0.1456744421563087	0.06709079842143943	0.05278667727913836	0.0063223223485625365	0.023070111322520178	0.02374313061076942
544.0147	0.03804300381505441	0.08137650816059949	0.14940974296268494	0.07095639924545344	0.05393603175933873	0.007484434770931368	0.0230594864712393	0.023607096218495174
544.9539	0.03933669652790582	0.06434211391156426	0.1466670393856347	0.07619852063416596	0.060116481119024304	0.008293821165197696	0.02300788483356366	0.022733631179958424
545.7288	0.03525460375655215	0.056311210799876985	0.1492820336975568	0.07472802555190695	0.049734387639835065	0.011338954487957145	0.02375298662682112	0.020740216580297986
546.5636	0.02545116602915401	0.050516051733252215	0.14691123638517625	0.06833972123182269	0.048951005479503325	0.014392291688426775	0.026862044860413464	0.018686531654411132
547.467	0.02203122689518101	0.039315532068988544	0.1466041637472122	0.06300846433371293	0.04528108555922038	0.015106222187915115	0.02605177706297628	0.014915107689023462
